region,resource_type,display_name,ocid,compartment_id,lifecycle_state,time_created,vcn_id,details
us-ashburn-1,VCN,Spoke_Network,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-13 15:36:19.090000+00:00,,"{""cidr_blocks"": [""10.0.1.0/24""]}"
us-ashburn-1,Subnet,Database_Subnet,ocid1.subnet.oc1.iad.aaaaaaaawzexhpuii5pvq54bbubmenqgrhaymldjlmbulnoia2sxpnexk5sq,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-15 06:50:27.520000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,"{""cidr_block"": ""10.0.1.96/27""}"
us-ashburn-1,Subnet,App_Subnet,ocid1.subnet.oc1.iad.aaaaaaaaeqjie3q45euvqgb4uayaecigc3hq3zznwbil255ddqyyd2mnmlga,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-15 06:49:31.101000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,"{""cidr_block"": ""10.0.1.0/26""}"
us-ashburn-1,Subnet,Web_Subnet,ocid1.subnet.oc1.iad.aaaaaaaaf4r3x5srlg3kkdaw6cil4ufejxd3gjtf3fgrd77kwfg5yu4vkaia,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-15 06:48:43.178000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,"{""cidr_block"": ""10.0.1.64/27""}"
us-ashburn-1,RouteTable,App_Route_Table,ocid1.routetable.oc1.iad.aaaaaaaahnyvo7kvxvsghlybzhoe3imwwx7me4qswoawnvuvshvdilxcy5ja,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-14 09:59:05.202000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,"{""rules"": [{""swagger_types"": {""cidr_block"": ""str"", ""destination"": ""str"", ""destination_type"": ""str"", ""network_entity_id"": ""str"", ""description"": ""str"", ""route_type"": ""str""}, ""attribute_map"": {""cidr_block"": ""cidrBlock"", ""destination"": ""destination"", ""destination_type"": ""destinationType"", ""network_entity_id"": ""networkEntityId"", ""description"": ""description"", ""route_type"": ""routeType""}, ""_cidr_block"": null, ""_destination"": ""10.0.0.0/25"", ""_destination_type"": ""CIDR_BLOCK"", ""_network_entity_id"": ""ocid1.drg.oc1.iad.aaaaaaaattbzkhuebmjw77keibvodifata2dcmtohfyagiu7ycjenop5agyq"", ""_description"": null, ""_route_type"": ""STATIC""}, {""swagger_types"": {""cidr_block"": ""str"", ""destination"": ""str"", ""destination_type"": ""str"", ""network_entity_id"": ""str"", ""description"": ""str"", ""route_type"": ""str""}, ""attribute_map"": {""cidr_block"": ""cidrBlock"", ""destination"": ""destination"", ""destination_type"": ""destinationType"", ""network_entity_id"": ""networkEntityId"", ""description"": ""description"", ""route_type"": ""routeType""}, ""_cidr_block"": null, ""_destination"": ""0.0.0.0/0"", ""_destination_type"": ""CIDR_BLOCK"", ""_network_entity_id"": ""ocid1.natgateway.oc1.iad.aaaaaaaa4w4hond52wo46z7vjhdmtqoq4itdiyrxgcowqwxig7yzjmxxhbwa"", ""_description"": null, ""_route_type"": ""STATIC""}, {""swagger_types"": {""cidr_block"": ""str"", ""destination"": ""str"", ""destination_type"": ""str"", ""network_entity_id"": ""str"", ""description"": ""str"", ""route_type"": ""str""}, ""attribute_map"": {""cidr_block"": ""cidrBlock"", ""destination"": ""destination"", ""destination_type"": ""destinationType"", ""network_entity_id"": ""networkEntityId"", ""description"": ""description"", ""route_type"": ""routeType""}, ""_cidr_block"": null, ""_destination"": ""all-iad-services-in-oracle-services-network"", ""_destination_type"": ""SERVICE_CIDR_BLOCK"", ""_network_entity_id"": ""ocid1.servicegateway.oc1.iad.aaaaaaaagaur5sbiqkxqdsy2h3ofbidnq753bmbcrfzxx3qn5x5lttfyhl5q"", ""_description"": null, ""_route_type"": ""STATIC""}]}"
us-ashburn-1,RouteTable,Web_Route_Table,ocid1.routetable.oc1.iad.aaaaaaaaquex2nyqkmp7nfifwi2evjta5ra4dctgnlhcf7wllszjkawt5uwq,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-14 09:58:45.151000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,"{""rules"": [{""swagger_types"": {""cidr_block"": ""str"", ""destination"": ""str"", ""destination_type"": ""str"", ""network_entity_id"": ""str"", ""description"": ""str"", ""route_type"": ""str""}, ""attribute_map"": {""cidr_block"": ""cidrBlock"", ""destination"": ""destination"", ""destination_type"": ""destinationType"", ""network_entity_id"": ""networkEntityId"", ""description"": ""description"", ""route_type"": ""routeType""}, ""_cidr_block"": null, ""_destination"": ""0.0.0.0/0"", ""_destination_type"": ""CIDR_BLOCK"", ""_network_entity_id"": ""ocid1.internetgateway.oc1.iad.aaaaaaaazfswt2twu6mtrnbofmkmma2qg526j7u2siyhnioes7a2u2zh7sfa"", ""_description"": null, ""_route_type"": ""STATIC""}]}"
us-ashburn-1,RouteTable,Database_Route_Table,ocid1.routetable.oc1.iad.aaaaaaaa5ukcs6gcnjl4htuvxwcx4pp4xd32pqzkalgcizmuiqhknqojxmla,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-14 09:58:29.207000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,"{""rules"": []}"
us-ashburn-1,RouteTable,Default Route Table for Spoke_Network,ocid1.routetable.oc1.iad.aaaaaaaah2zsai3vxgx6pcwfnfzevcgtd2qr63yh6kj3j6fbtf7kht6xoq7q,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-13 15:36:19.090000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,"{""rules"": []}"
us-ashburn-1,SecurityList,App_Security_List,ocid1.securitylist.oc1.iad.aaaaaaaapmkn6r64u3gaa4uqxi5biy23xhz4u6wp5aw75cqti5jdykgouwza,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-14 09:57:49.429000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,{}
us-ashburn-1,SecurityList,Web_Security_List,ocid1.securitylist.oc1.iad.aaaaaaaa6c5n2ndlvnxfcmicqh5k2c37zgmg7cbbeh443tryozwoqdh5rhnq,ocid1.compartment.oc1..aaaaaaaancqrkdlnb7w7oay5ukhnzqm6azelshafkeigmcvsuencr4j2zzwa,AVAILABLE,2026-09-14 09:57:28.878000+00:00,ocid1.vcn.oc1.iad.amaaaaaah2vcsdqazxassmf57kksatekifsroc3zwg7buwbvvuipy3iv3cuq,{}
